price,size,balcony,juliet_balcony,basement,terrace,loggia,yard,attic,floor,rooms,offering,date_listed,street,borough
19900,118,0,0,0,1,0,0,0,4,3,agency,2023-06-18,Witolda,Stare miasto
19000,120,0,0,0,1,0,1,0,0,4,agency,2023-02-16,Bartla,Śródmieście
18000,113,0,0,0,0,0,0,0,4,3,agency,2022-01-24,Pomorska,Stare miasto
16000,110,0,0,0,0,0,0,0,47,2,agency,2022-05-26,Gwiaździsta,Krzyki
16000,120,0,0,0,1,0,0,0,1,4,agency,2023-03-17,Racławicka,Krzyki
16000,120,0,0,1,1,0,0,0,5,5,agency,2022-05-31,Witolda,Śródmieście
15999,150,1,0,0,0,0,0,0,4,3,agency,2022-12-09,Staromłyńska,Stare miasto
15500,150,0,0,1,1,0,0,0,7,3,agency,2022-08-04,Białowieska,Fabryczna
15000,106,0,0,0,0,0,0,0,45,3,agency,2023-06-06,Gwiaździsta,Krzyki
15000,112.2,0,0,0,1,0,0,0,6,4,agency,2023-06-05,Witolda,Stare miasto
15000,112.2,1,0,0,0,0,0,0,6,4,agency,2022-12-01,Witolda,Śródmieście
15000,118.74,0,0,0,1,0,0,0,6,4,agency,2022-05-06,Podwale,Stare miasto
15000,450,0,0,1,1,0,0,0,3,5,agency,2023-03-16,Przyjaźni,Krzyki
15000,450,0,0,1,1,0,0,0,3,5,agency,2022-03-14,Przyjaźni,Krzyki
15000,450,0,0,1,1,0,0,0,3,5,agency,2022-03-07,Przyjaźni,Krzyki
14500,106,0,0,0,0,0,0,0,4,3,agency,2023-06-12,Pomorska,Śródmieście
14500,106.1,0,0,0,0,0,0,0,4,3,agency,2022-11-03,Pomorska,Śródmieście
14500,142,0,0,0,1,0,0,0,6,4,agency,2023-05-15,Jana pawła ii,Stare miasto
14200,117.57,1,0,0,0,0,0,0,4,4,agency,2023-05-12,Podwale,Krzyki
14000,120,0,0,0,1,0,0,0,5,5,agency,2022-06-21,Witolda,Stare miasto
14000,120,0,0,1,1,0,0,0,5,5,agency,2022-06-07,Witolda,Śródmieście
14000,170,0,0,1,1,0,0,0,1,3,agency,2022-08-09,,Krzyki
13500,120,0,0,1,1,0,0,0,5,5,agency,2023-02-13,,Śródmieście
13500,145.46,0,0,0,0,1,0,0,6,4,agency,2023-01-30,Witolda,Śródmieście
